Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
4/2009 - 6/2009,Male,25.1,9.6,4.7,5.7,6.3,3.0,6.4
4/2009 - 6/2009,Female,22.1,5.2,3.7,4.4,3.8,2.0,4.5
4/2009 - 6/2009,Both sexes,23.8,7.2,4.1,5.1,5.4,2.8,5.5
5/2009 - 7/2009,Male,29.8,10.1,4.8,5.7,6.0,3.5,6.6
5/2009 - 7/2009,Female,26.7,6.0,3.5,4.3,4.5,2.0,4.8
5/2009 - 7/2009,Both sexes,28.4,7.9,4.1,5.1,5.4,3.1,5.8
6/2009 - 8/2009,Male,28.6,10.9,4.5,5.5,6.1,3.5,6.7
6/2009 - 8/2009,Female,28.2,6.3,3.9,3.9,4.7,2.2,5.0
6/2009 - 8/2009,Both sexes,28.4,8.4,4.1,4.7,5.6,3.2,5.9
7/2009 - 9/2009,Male,26.0,10.6,4.4,5.0,5.9,3.8,6.4
7/2009 - 9/2009,Female,25.7,6.1,3.6,4.2,4.7,2.1,4.9
7/2009 - 9/2009,Both sexes,25.8,8.2,4.0,4.6,5.4,3.4,5.7
8/2009 - 10/2009,Male,24.8,10.1,4.0,4.6,5.6,2.8,5.9
8/2009 - 10/2009,Female,20.2,5.7,3.3,4.0,3.6,2.3,4.3
8/2009 - 10/2009,Both sexes,22.6,7.7,3.6,4.3,4.8,2.7,5.2
9/2009 - 11/2009,Male,25.0,9.6,4.1,4.5,5.5,2.6,5.7
9/2009 - 11/2009,Female,17.4,5.4,3.0,3.7,3.4,2.5,4.0
9/2009 - 11/2009,Both sexes,21.3,7.3,3.5,4.1,4.7,2.6,4.9
10/2009 - 12/2009,Male,24.4,8.7,4.1,4.4,5.2,2.4,5.4
10/2009 - 12/2009,Female,15.2,5.3,3.0,3.4,3.3,2.9,3.9
10/2009 - 12/2009,Both sexes,19.8,6.9,3.6,4.0,4.5,2.5,4.7
11/2009 - 1/2010,Male,21.5,7.8,4.1,4.1,5.4,3.5,5.2
11/2009 - 1/2010,Female,15.4,4.9,3.1,3.2,3.5,3.7,3.8
11/2009 - 1/2010,Both sexes,18.4,6.2,3.6,3.7,4.7,3.5,4.6
12/2009 - 2/2010,Male,21.5,7.1,4.2,4.1,5.2,3.4,5.1
12/2009 - 2/2010,Female,14.2,4.2,2.9,3.3,3.7,2.4,3.6
12/2009 - 2/2010,Both sexes,18.0,5.5,3.5,3.7,4.7,3.2,4.4
1/2010 - 3/2010,Male,24.6,7.2,4.4,4.4,5.7,4.2,5.4
1/2010 - 3/2010,Female,11.5,4.5,2.5,3.2,3.2,2.1,3.4
1/2010 - 3/2010,Both sexes,18.2,5.7,3.4,3.8,4.7,3.7,4.4
2/2010 - 4/2010,Male,24.6,7.4,4.5,4.9,5.8,4.6,5.6
2/2010 - 4/2010,Female,11.4,4.6,2.6,3.3,3.0,[*7],3.3
2/2010 - 4/2010,Both sexes,18.7,5.9,3.5,4.1,4.8,3.6,4.6
3/2010 - 5/2010,Male,25.1,8.1,4.6,4.8,5.8,4.7,5.8
3/2010 - 5/2010,Female,14.5,5.3,2.8,3.4,3.1,1.2,3.7
3/2010 - 5/2010,Both sexes,20.4,6.6,3.6,4.1,4.8,3.8,4.8
4/2010 - 6/2010,Male,21.9,8.5,4.2,4.5,5.3,4.0,5.5
4/2010 - 6/2010,Female,19.2,5.7,3.0,3.3,3.8,1.2,3.9
4/2010 - 6/2010,Both sexes,20.7,7.0,3.5,4.0,4.7,3.2,4.8
5/2010 - 7/2010,Male,23.4,9.0,3.8,4.2,4.5,3.5,5.2
5/2010 - 7/2010,Female,16.7,6.0,2.7,3.2,3.7,1.5,3.9
5/2010 - 7/2010,Both sexes,20.4,7.4,3.2,3.7,4.2,2.9,4.6
6/2010 - 8/2010,Male,23.5,9.4,3.5,3.9,4.3,3.5,5.1
6/2010 - 8/2010,Female,17.1,6.6,2.4,3.1,3.6,1.4,3.9
6/2010 - 8/2010,Both sexes,20.7,7.9,2.9,3.5,4.0,3.0,4.6
7/2010 - 9/2010,Male,24.9,9.5,2.9,3.7,4.5,2.8,5.0
7/2010 - 9/2010,Female,16.5,6.4,2.2,2.8,3.4,1.4,3.7
7/2010 - 9/2010,Both sexes,21.2,7.8,2.5,3.3,4.1,2.5,4.4
8/2010 - 10/2010,Male,23.9,9.3,2.9,3.3,4.3,2.2,4.7
8/2010 - 10/2010,Female,21.2,5.7,2.4,2.7,3.0,[*7],3.5
8/2010 - 10/2010,Both sexes,22.7,7.3,2.6,3.0,3.8,1.8,4.2
9/2010 - 11/2010,Male,21.6,8.2,2.6,3.4,4.4,1.8,4.4
9/2010 - 11/2010,Female,22.6,5.0,2.2,2.5,2.8,[*7],3.3
9/2010 - 11/2010,Both sexes,22.1,6.5,2.4,3.0,3.8,1.5,3.9
10/2010 - 12/2010,Male,19.7,7.7,2.8,3.2,4.3,2.0,4.3
10/2010 - 12/2010,Female,24.8,4.2,2.4,2.3,2.2,[*7],3.0
10/2010 - 12/2010,Both sexes,22.1,5.9,2.6,2.8,3.5,1.7,3.7
11/2010 - 1/2011,Male,19.3,6.9,3.0,3.4,4.1,1.9,4.2
11/2010 - 1/2011,Female,23.1,4.2,1.9,2.2,1.9,1.6,2.8
11/2010 - 1/2011,Both sexes,21.2,5.4,2.5,2.8,3.3,1.8,3.5
12/2010 - 2/2011,Male,17.8,6.5,3.2,3.3,4.2,2.2,4.1
12/2010 - 2/2011,Female,22.3,3.5,1.8,2.2,1.7,1.1,2.5
12/2010 - 2/2011,Both sexes,19.9,4.9,2.5,2.8,3.2,1.9,3.4
1/2011 - 3/2011,Male,16.8,6.4,3.5,3.3,4.0,2.2,4.1
1/2011 - 3/2011,Female,18.8,3.6,1.8,2.6,1.5,1.8,2.6
1/2011 - 3/2011,Both sexes,17.7,4.9,2.6,3.0,3.1,2.1,3.4
2/2011 - 4/2011,Male,15.1,6.6,3.4,3.4,4.4,2.2,4.3
2/2011 - 4/2011,Female,19.3,3.8,2.3,2.8,1.9,1.2,2.9
2/2011 - 4/2011,Both sexes,16.9,5.1,2.8,3.1,3.5,1.9,3.6
3/2011 - 5/2011,Male,17.3,7.0,3.3,3.1,4.4,2.4,4.3
3/2011 - 5/2011,Female,15.3,3.9,2.6,2.9,2.2,1.7,3.0
3/2011 - 5/2011,Both sexes,16.5,5.3,2.9,3.0,3.5,2.2,3.7
4/2011 - 6/2011,Male,22.3,7.8,2.9,3.1,4.4,2.2,4.4
4/2011 - 6/2011,Female,14.5,3.9,2.5,2.7,2.7,1.4,3.0
4/2011 - 6/2011,Both sexes,19.0,5.7,2.7,2.9,3.7,2.0,3.7
5/2011 - 7/2011,Male,25.1,7.8,2.7,2.9,4.5,2.0,4.3
5/2011 - 7/2011,Female,12.7,4.6,2.3,2.8,2.2,1.2,3.0
5/2011 - 7/2011,Both sexes,19.4,6.1,2.5,2.9,3.6,1.8,3.7
6/2011 - 8/2011,Male,21.7,7.6,2.7,2.8,3.7,1.6,4.0
6/2011 - 8/2011,Female,14.8,4.8,2.0,2.6,1.9,1.5,2.9
6/2011 - 8/2011,Both sexes,18.3,6.1,2.3,2.7,3.0,1.5,3.5
7/2011 - 9/2011,Male,16.2,6.8,2.8,2.7,3.5,2.1,3.8
7/2011 - 9/2011,Female,17.3,4.8,2.0,2.5,2.1,1.6,3.0
7/2011 - 9/2011,Both sexes,16.8,5.7,2.4,2.6,3.0,1.9,3.4
8/2011 - 10/2011,Male,14.5,6.8,2.7,2.6,3.9,2.4,3.8
8/2011 - 10/2011,Female,16.3,4.2,1.9,2.2,2.7,1.9,2.8
8/2011 - 10/2011,Both sexes,15.4,5.4,2.3,2.4,3.4,2.3,3.4
9/2011 - 11/2011,Male,16.7,6.0,2.8,2.6,4.0,2.2,3.7
9/2011 - 11/2011,Female,11.4,4.0,2.1,2.2,2.7,1.3,2.7
9/2011 - 11/2011,Both sexes,14.0,4.9,2.4,2.4,3.5,2.0,3.2
10/2011 - 12/2011,Male,16.6,5.7,3.0,2.7,3.9,1.8,3.7
10/2011 - 12/2011,Female,5.5,3.8,1.7,2.1,2.7,2.9,2.5
10/2011 - 12/2011,Both sexes,11.1,4.7,2.3,2.4,3.4,2.1,3.1
11/2011 - 1/2012,Male,14.8,5.5,3.1,2.9,3.4,2.0,3.6
11/2011 - 1/2012,Female,3.7,3.7,1.6,2.2,2.2,2.8,2.4
11/2011 - 1/2012,Both sexes,9.6,4.6,2.3,2.6,2.9,2.2,3.0
12/2011 - 2/2012,Male,14.8,6.1,2.9,3.1,3.6,2.7,3.8
12/2011 - 2/2012,Female,7.5,3.7,1.6,2.4,2.3,3.2,2.5
12/2011 - 2/2012,Both sexes,11.6,4.8,2.2,2.7,3.0,2.8,3.2
1/2012 - 3/2012,Male,14.3,6.1,3.1,3.3,3.8,3.1,4.0
1/2012 - 3/2012,Female,9.2,3.7,1.8,2.4,2.1,1.7,2.5
1/2012 - 3/2012,Both sexes,12.2,4.8,2.4,2.8,3.1,2.7,3.3
2/2012 - 4/2012,Male,14.6,6.2,3.0,3.3,3.6,2.6,3.9
2/2012 - 4/2012,Female,11.8,3.8,1.9,2.6,2.5,1.7,2.7
2/2012 - 4/2012,Both sexes,13.3,4.9,2.4,2.9,3.2,2.4,3.3
3/2012 - 5/2012,Male,14.3,6.1,3.1,3.3,3.3,2.4,3.8
3/2012 - 5/2012,Female,13.9,4.0,2.0,2.5,2.5,0.8,2.7
3/2012 - 5/2012,Both sexes,14.1,5.0,2.5,2.9,3.0,1.9,3.3
4/2012 - 6/2012,Male,15.7,6.9,3.0,3.0,3.1,2.1,3.8
4/2012 - 6/2012,Female,14.1,4.6,1.9,2.8,2.3,1.0,2.9
4/2012 - 6/2012,Both sexes,14.9,5.7,2.4,2.9,2.8,1.8,3.4
5/2012 - 7/2012,Male,16.1,6.8,3.4,2.5,3.3,2.4,3.8
5/2012 - 7/2012,Female,13.7,4.9,1.9,2.7,2.2,0.9,3.0
5/2012 - 7/2012,Both sexes,15.0,5.8,2.6,2.6,2.8,2.0,3.4
6/2012 - 8/2012,Male,14.7,7.3,3.1,2.6,3.2,1.9,3.8
6/2012 - 8/2012,Female,13.6,5.1,1.9,2.8,2.5,0.9,3.1
6/2012 - 8/2012,Both sexes,14.1,6.1,2.5,2.7,2.9,1.6,3.4
7/2012 - 9/2012,Male,15.4,7.5,3.2,2.7,3.2,1.7,3.8
7/2012 - 9/2012,Female,15.1,4.9,2.1,2.7,2.5,1.1,3.1
7/2012 - 9/2012,Both sexes,15.3,6.1,2.6,2.7,2.9,1.5,3.5
8/2012 - 10/2012,Male,16.1,7.3,2.6,3.0,3.4,1.3,3.8
8/2012 - 10/2012,Female,13.4,4.8,2.1,2.7,2.6,0.9,3.0
8/2012 - 10/2012,Both sexes,14.8,6.0,2.3,2.8,3.1,1.2,3.4
9/2012 - 11/2012,Male,17.4,6.6,2.8,3.3,3.6,1.9,3.9
9/2012 - 11/2012,Female,11.5,4.2,2.1,2.4,2.3,1.2,2.8
9/2012 - 11/2012,Both sexes,14.5,5.3,2.4,2.9,3.1,1.7,3.3
10/2012 - 12/2012,Male,16.0,5.9,2.5,3.3,3.6,1.9,3.7
10/2012 - 12/2012,Female,8.2,3.5,1.8,2.2,2.2,1.3,2.4
10/2012 - 12/2012,Both sexes,12.3,4.6,2.1,2.8,3.1,1.7,3.1
11/2012 - 1/2013,Male,15.1,5.7,2.7,3.8,3.5,2.6,3.8
11/2012 - 1/2013,Female,7.6,3.3,1.8,2.4,2.7,1.8,2.5
11/2012 - 1/2013,Both sexes,11.5,4.4,2.2,3.1,3.2,2.4,3.2
12/2012 - 2/2013,Male,16.8,5.7,2.5,3.6,3.7,2.3,3.8
12/2012 - 2/2013,Female,8.1,3.4,2.0,2.6,2.9,1.6,2.7
12/2012 - 2/2013,Both sexes,12.8,4.5,2.2,3.1,3.4,2.1,3.3
1/2013 - 3/2013,Male,16.4,6.4,2.4,3.9,3.9,2.8,4.0
1/2013 - 3/2013,Female,10.4,3.5,2.3,2.9,3.0,1.2,2.9
1/2013 - 3/2013,Both sexes,13.5,4.8,2.4,3.4,3.6,2.3,3.5
2/2013 - 4/2013,Male,19.0,6.7,2.6,3.6,4.0,2.1,4.1
2/2013 - 4/2013,Female,14.0,3.9,2.5,2.5,2.7,1.4,2.9
2/2013 - 4/2013,Both sexes,16.6,5.2,2.6,3.1,3.5,1.9,3.5
3/2013 - 5/2013,Male,18.2,6.5,2.9,3.4,3.9,2.5,4.0
3/2013 - 5/2013,Female,13.6,4.0,2.4,2.7,2.5,1.5,3.0
3/2013 - 5/2013,Both sexes,15.9,5.2,2.6,3.1,3.3,2.2,3.5
4/2013 - 6/2013,Male,22.8,6.5,2.7,3.0,3.5,2.5,3.8
4/2013 - 6/2013,Female,14.7,4.5,2.3,2.5,2.6,2.8,3.0
4/2013 - 6/2013,Both sexes,18.7,5.4,2.5,2.7,3.1,2.6,3.5
5/2013 - 7/2013,Male,21.7,7.3,2.5,2.7,3.6,2.6,3.9
5/2013 - 7/2013,Female,14.6,5.0,2.1,2.4,2.6,2.2,3.1
5/2013 - 7/2013,Both sexes,18.1,6.1,2.3,2.6,3.2,2.5,3.5
6/2013 - 8/2013,Male,20.4,7.8,2.5,2.7,3.0,2.4,3.8
6/2013 - 8/2013,Female,10.6,5.5,2.2,2.4,2.6,2.7,3.2
6/2013 - 8/2013,Both sexes,15.5,6.6,2.4,2.6,2.8,2.5,3.5
7/2013 - 9/2013,Male,19.2,7.7,2.8,2.9,2.9,1.9,3.8
7/2013 - 9/2013,Female,11.1,5.5,1.9,2.4,2.6,2.6,3.1
7/2013 - 9/2013,Both sexes,15.2,6.5,2.3,2.7,2.8,2.1,3.5
8/2013 - 10/2013,Male,17.5,7.7,2.7,2.8,2.7,1.9,3.7
8/2013 - 10/2013,Female,11.2,5.0,1.9,2.6,2.5,3.0,3.0
8/2013 - 10/2013,Both sexes,14.3,6.3,2.3,2.7,2.6,2.2,3.4
9/2013 - 11/2013,Male,15.6,7.4,2.6,2.9,3.1,2.1,3.7
9/2013 - 11/2013,Female,14.1,4.8,1.6,2.6,2.5,2.6,2.9
9/2013 - 11/2013,Both sexes,14.8,6.0,2.1,2.7,2.9,2.2,3.3
10/2013 - 12/2013,Male,12.0,6.7,2.2,2.8,3.2,2.1,3.5
10/2013 - 12/2013,Female,11.1,4.4,1.5,2.5,2.1,1.7,2.6
10/2013 - 12/2013,Both sexes,11.5,5.5,1.8,2.7,2.8,2.0,3.1
11/2013 - 1/2014,Male,12.4,5.7,2.2,2.9,3.3,2.5,3.4
11/2013 - 1/2014,Female,8.3,3.8,1.5,2.4,2.2,2.1,2.5
11/2013 - 1/2014,Both sexes,10.4,4.7,1.8,2.7,2.9,2.4,2.9
12/2013 - 2/2014,Male,14.2,5.6,2.5,3.1,3.4,2.6,3.5
12/2013 - 2/2014,Female,6.1,3.5,1.4,2.3,2.1,1.9,2.3
12/2013 - 2/2014,Both sexes,10.1,4.5,1.9,2.7,2.9,2.4,2.9
1/2014 - 3/2014,Male,14.3,5.9,2.8,3.2,3.4,3.2,3.7
1/2014 - 3/2014,Female,6.2,3.4,1.7,2.4,2.6,2.1,2.5
1/2014 - 3/2014,Both sexes,10.1,4.6,2.2,2.8,3.1,2.9,3.1
2/2014 - 4/2014,Male,11.8,5.9,2.8,3.4,3.3,3.0,3.7
2/2014 - 4/2014,Female,6.2,3.6,2.1,2.5,2.5,2.5,2.7
2/2014 - 4/2014,Both sexes,8.8,4.6,2.4,3.0,3.0,2.9,3.2
3/2014 - 5/2014,Male,11.3,5.9,2.2,3.2,3.5,2.9,3.6
3/2014 - 5/2014,Female,10.4,3.4,2.2,2.7,2.7,2.6,2.8
3/2014 - 5/2014,Both sexes,10.8,4.6,2.2,2.9,3.1,2.8,3.2
4/2014 - 6/2014,Male,12.6,6.1,2.0,3.1,3.4,3.1,3.5
4/2014 - 6/2014,Female,16.0,4.4,2.3,2.9,2.5,2.3,3.1
4/2014 - 6/2014,Both sexes,14.4,5.2,2.1,3.0,3.0,2.9,3.3
5/2014 - 7/2014,Male,12.6,7.1,2.5,2.8,3.1,3.0,3.7
5/2014 - 7/2014,Female,18.0,5.5,2.2,2.7,2.5,1.6,3.2
5/2014 - 7/2014,Both sexes,15.4,6.2,2.3,2.7,2.9,2.6,3.5
6/2014 - 8/2014,Male,10.7,7.9,2.6,2.6,2.6,3.0,3.7
6/2014 - 8/2014,Female,15.3,6.3,2.2,2.5,2.4,2.0,3.4
6/2014 - 8/2014,Both sexes,13.1,7.0,2.4,2.6,2.5,2.7,3.5
7/2014 - 9/2014,Male,10.9,7.5,2.6,2.7,2.8,2.7,3.7
7/2014 - 9/2014,Female,13.6,5.8,2.3,2.4,2.6,2.4,3.3
7/2014 - 9/2014,Both sexes,12.3,6.6,2.4,2.5,2.7,2.6,3.5
8/2014 - 10/2014,Male,12.6,6.8,2.1,2.8,3.1,3.3,3.6
8/2014 - 10/2014,Female,12.6,5.2,2.0,2.5,2.9,2.5,3.2
8/2014 - 10/2014,Both sexes,12.6,6.0,2.1,2.7,3.0,3.1,3.4
9/2014 - 11/2014,Male,14.6,6.1,2.0,2.7,3.0,3.6,3.5
9/2014 - 11/2014,Female,11.5,4.8,1.8,2.7,3.4,2.5,3.1
9/2014 - 11/2014,Both sexes,13.1,5.5,1.9,2.7,3.2,3.3,3.3
10/2014 - 12/2014,Male,14.5,6.1,2.0,2.6,2.7,3.4,3.3
10/2014 - 12/2014,Female,9.2,4.7,1.7,2.7,3.3,2.2,3.0
10/2014 - 12/2014,Both sexes,11.8,5.3,1.8,2.6,2.9,3.0,3.1
11/2014 - 1/2015,Male,12.9,6.2,2.1,2.5,2.5,3.1,3.2
11/2014 - 1/2015,Female,11.9,4.5,1.7,2.8,2.9,2.1,2.9
11/2014 - 1/2015,Both sexes,12.3,5.3,1.9,2.6,2.7,2.8,3.1
12/2014 - 2/2015,Male,17.3,5.9,2.1,2.7,2.3,3.1,3.2
12/2014 - 2/2015,Female,12.6,4.1,1.9,3.0,3.0,1.9,3.0
12/2014 - 2/2015,Both sexes,14.9,5.0,2.0,2.8,2.6,2.7,3.1
1/2015 - 3/2015,Male,18.4,5.9,2.1,3.2,2.7,3.8,3.5
1/2015 - 3/2015,Female,10.1,4.1,1.7,3.3,3.0,1.4,3.0
1/2015 - 3/2015,Both sexes,13.9,4.9,1.9,3.2,2.8,3.1,3.2
2/2015 - 4/2015,Male,18.7,5.1,2.1,3.0,3.0,3.9,3.4
2/2015 - 4/2015,Female,12.0,4.3,2.0,3.1,3.3,2.0,3.1
2/2015 - 4/2015,Both sexes,15.2,4.7,2.0,3.1,3.1,3.3,3.3
3/2015 - 5/2015,Male,14.1,5.3,2.3,3.1,3.0,3.4,3.4
3/2015 - 5/2015,Female,13.9,5.1,1.9,2.6,3.2,1.7,3.1
3/2015 - 5/2015,Both sexes,14.0,5.2,2.1,2.9,3.1,2.9,3.3
4/2015 - 6/2015,Male,16.1,6.0,2.3,2.7,2.6,2.4,3.3
4/2015 - 6/2015,Female,18.7,5.9,1.9,2.4,3.2,2.4,3.4
4/2015 - 6/2015,Both sexes,17.4,5.9,2.1,2.6,2.8,2.4,3.3
5/2015 - 7/2015,Male,16.4,7.2,2.3,2.6,2.7,1.7,3.4
5/2015 - 7/2015,Female,19.2,6.3,1.8,2.4,3.0,1.8,3.4
5/2015 - 7/2015,Both sexes,17.8,6.7,2.0,2.5,2.8,1.7,3.4
6/2015 - 8/2015,Male,17.1,7.7,2.3,2.5,2.8,1.8,3.6
6/2015 - 8/2015,Female,16.8,6.2,2.0,2.9,2.7,1.6,3.4
6/2015 - 8/2015,Both sexes,17.0,6.9,2.1,2.7,2.8,1.8,3.5
7/2015 - 9/2015,Male,14.6,7.6,2.4,2.5,3.0,2.3,3.6
7/2015 - 9/2015,Female,13.4,6.4,2.0,2.8,2.6,1.4,3.4
7/2015 - 9/2015,Both sexes,14.0,7.0,2.2,2.7,2.8,2.0,3.5
8/2015 - 10/2015,Male,11.7,7.0,2.3,2.7,2.8,2.6,3.5
8/2015 - 10/2015,Female,9.7,6.3,2.3,3.0,2.4,1.5,3.4
8/2015 - 10/2015,Both sexes,10.8,6.6,2.3,2.9,2.7,2.2,3.4
9/2015 - 11/2015,Male,11.5,6.9,2.0,2.6,2.8,3.0,3.4
9/2015 - 11/2015,Female,8.3,5.9,2.4,2.9,2.5,2.2,3.3
9/2015 - 11/2015,Both sexes,10.0,6.3,2.2,2.7,2.7,2.7,3.3
10/2015 - 12/2015,Male,11.4,6.2,1.9,2.6,3.0,2.7,3.3
10/2015 - 12/2015,Female,6.7,4.9,2.3,2.7,2.7,2.0,3.0
10/2015 - 12/2015,Both sexes,9.1,5.5,2.2,2.7,2.8,2.5,3.2
11/2015 - 1/2016,Male,18.3,5.9,1.9,2.5,3.2,2.5,3.3
11/2015 - 1/2016,Female,6.9,4.6,2.1,2.8,2.7,1.8,2.9
11/2015 - 1/2016,Both sexes,12.6,5.2,2.0,2.6,3.0,2.3,3.1
12/2015 - 2/2016,Male,19.7,6.1,2.1,2.4,3.5,2.0,3.4
12/2015 - 2/2016,Female,10.0,4.7,1.7,2.8,2.8,1.2,2.9
12/2015 - 2/2016,Both sexes,15.0,5.3,1.9,2.6,3.2,1.7,3.1
1/2016 - 3/2016,Male,19.1,6.0,2.2,2.9,3.8,2.5,3.7
1/2016 - 3/2016,Female,10.6,4.8,1.8,3.0,2.9,1.6,3.0
1/2016 - 3/2016,Both sexes,15.0,5.4,2.0,3.0,3.4,2.2,3.3
2/2016 - 4/2016,Male,17.7,6.6,2.5,3.1,3.7,2.8,3.8
2/2016 - 4/2016,Female,12.4,4.5,1.9,2.9,3.1,2.4,3.0
2/2016 - 4/2016,Both sexes,15.1,5.5,2.2,3.0,3.5,2.7,3.4
3/2016 - 5/2016,Male,17.2,6.2,2.6,3.3,3.4,3.5,3.8
3/2016 - 5/2016,Female,12.6,4.0,1.9,3.1,3.3,2.9,3.1
3/2016 - 5/2016,Both sexes,15.0,5.0,2.2,3.2,3.4,3.3,3.5
4/2016 - 6/2016,Male,18.9,7.0,2.4,3.1,3.0,3.3,3.8
4/2016 - 6/2016,Female,14.5,4.9,2.0,2.8,3.3,2.4,3.2
4/2016 - 6/2016,Both sexes,16.9,5.9,2.2,3.0,3.1,3.0,3.5
5/2016 - 7/2016,Male,17.5,7.7,2.8,3.0,2.8,2.8,3.9
5/2016 - 7/2016,Female,12.3,5.5,1.9,2.8,3.0,1.8,3.2
5/2016 - 7/2016,Both sexes,15.3,6.5,2.3,2.9,2.9,2.5,3.5
6/2016 - 8/2016,Male,15.6,8.2,2.8,3.0,3.0,2.0,4.0
6/2016 - 8/2016,Female,10.4,6.1,2.2,2.5,2.7,2.1,3.2
6/2016 - 8/2016,Both sexes,13.5,7.1,2.5,2.7,2.9,2.0,3.6
7/2016 - 9/2016,Male,13.7,8.0,3.0,2.9,3.3,1.9,3.9
7/2016 - 9/2016,Female,9.5,5.7,2.1,2.7,2.8,1.9,3.2
7/2016 - 9/2016,Both sexes,11.9,6.8,2.5,2.8,3.1,1.9,3.6
8/2016 - 10/2016,Male,12.7,7.6,2.8,2.7,3.4,1.8,3.8
8/2016 - 10/2016,Female,8.4,5.0,2.4,2.8,2.9,2.1,3.2
8/2016 - 10/2016,Both sexes,10.7,6.2,2.6,2.8,3.2,1.9,3.5
9/2016 - 11/2016,Male,13.2,7.2,2.6,2.7,3.2,2.1,3.6
9/2016 - 11/2016,Female,8.8,4.9,2.1,2.8,3.1,1.7,3.1
9/2016 - 11/2016,Both sexes,10.9,6.0,2.4,2.7,3.2,2.0,3.4
10/2016 - 12/2016,Male,14.3,7.1,2.5,2.5,3.0,1.9,3.4
10/2016 - 12/2016,Female,9.1,4.4,2.2,2.4,2.5,2.0,2.8
10/2016 - 12/2016,Both sexes,11.6,5.6,2.4,2.4,2.8,1.9,3.1
11/2016 - 1/2017,Male,11.3,6.8,2.2,2.6,2.9,2.0,3.3
11/2016 - 1/2017,Female,7.9,4.6,2.0,2.3,3.1,1.7,2.8
11/2016 - 1/2017,Both sexes,9.6,5.6,2.1,2.5,3.0,1.9,3.1
12/2016 - 2/2017,Male,10.4,7.0,2.4,2.6,3.1,2.2,3.4
12/2016 - 2/2017,Female,9.1,4.0,1.9,2.6,2.9,1.1,2.7
12/2016 - 2/2017,Both sexes,9.8,5.4,2.1,2.6,3.0,1.9,3.1
1/2017 - 3/2017,Male,13.2,6.5,2.5,2.7,3.5,2.7,3.6
1/2017 - 3/2017,Female,10.5,4.3,1.9,2.5,3.3,1.2,2.8
1/2017 - 3/2017,Both sexes,11.9,5.4,2.1,2.6,3.4,2.2,3.2
2/2017 - 4/2017,Male,12.9,6.3,2.7,2.8,3.4,2.8,3.6
2/2017 - 4/2017,Female,8.1,4.4,2.0,2.6,3.2,1.6,2.9
2/2017 - 4/2017,Both sexes,10.6,5.3,2.3,2.7,3.3,2.4,3.2
3/2017 - 5/2017,Male,14.3,6.3,2.6,2.9,3.3,3.0,3.6
3/2017 - 5/2017,Female,9.6,4.5,2.1,2.5,3.0,2.1,2.9
3/2017 - 5/2017,Both sexes,12.0,5.4,2.3,2.7,3.2,2.7,3.2
4/2017 - 6/2017,Male,14.9,6.4,2.4,3.0,3.0,2.6,3.5
4/2017 - 6/2017,Female,11.1,4.6,2.1,2.7,2.4,2.4,2.9
4/2017 - 6/2017,Both sexes,13.0,5.4,2.2,2.8,2.8,2.5,3.2
5/2017 - 7/2017,Male,16.0,7.3,2.3,2.8,3.2,2.3,3.6
5/2017 - 7/2017,Female,13.2,5.2,2.1,2.6,2.1,2.9,3.0
5/2017 - 7/2017,Both sexes,14.6,6.2,2.2,2.7,2.7,2.5,3.3
6/2017 - 8/2017,Male,12.9,7.5,2.5,2.6,2.9,2.0,3.5
6/2017 - 8/2017,Female,12.5,5.8,2.2,2.7,1.8,2.8,3.1
6/2017 - 8/2017,Both sexes,12.7,6.7,2.3,2.6,2.4,2.3,3.3
7/2017 - 9/2017,Male,9.6,7.7,2.7,2.6,2.7,2.1,3.5
7/2017 - 9/2017,Female,10.7,6.3,1.7,2.5,2.0,2.8,3.0
7/2017 - 9/2017,Both sexes,10.2,7.0,2.2,2.5,2.4,2.4,3.3
8/2017 - 10/2017,Male,10.3,6.6,2.4,2.4,2.7,2.7,3.3
8/2017 - 10/2017,Female,12.7,5.9,1.7,2.4,2.5,2.4,3.0
8/2017 - 10/2017,Both sexes,11.6,6.3,2.0,2.4,2.6,2.6,3.1
9/2017 - 11/2017,Male,11.2,6.5,2.4,2.3,2.9,2.4,3.3
9/2017 - 11/2017,Female,9.4,5.3,1.6,2.1,2.3,2.4,2.7
9/2017 - 11/2017,Both sexes,10.2,5.9,2.0,2.2,2.7,2.4,3.0
10/2017 - 12/2017,Male,11.8,5.8,1.9,2.1,3.0,2.1,3.0
10/2017 - 12/2017,Female,9.9,4.8,1.8,2.0,2.2,1.9,2.6
10/2017 - 12/2017,Both sexes,10.8,5.3,1.9,2.1,2.6,2.0,2.8
11/2017 - 1/2018,Male,12.5,6.3,2.3,2.3,2.7,1.9,3.1
11/2017 - 1/2018,Female,8.1,3.9,1.6,1.8,2.0,1.3,2.2
11/2017 - 1/2018,Both sexes,10.2,5.0,1.9,2.0,2.4,1.7,2.7
12/2017 - 2/2018,Male,10.8,6.2,2.4,2.1,2.8,1.9,3.1
